category,text,,,,
sports,"While tennis can be enjoyed by players of practically any level of skill, top competition is a demanding test of both shot making and stamina, rich in stylistic and strategic variety.",,,,
sports,"From its origins as a garden-party game for ladies in whalebone corsets and starched petticoats and men in long white flannels, it has evolved into a physical chess match in which players attack and defend, exploiting angles and technical weaknesses with strokes of widely diverse pace and spin.",,,,
sports,"The ITF and the national associations that constitute it govern tennis worldwide; they oversee international competitions such as the Davis Cup and Federation Cup and tennis in the Olympic Games, which was restored to medal-sport status for the 1988 Games—the first time since 1924. ",,,,
sports,"The dimensions of the tennis court are 78 by 27 feet (23.8 by 8.2 metres) for singles and 78 by 36 feet (23.8 by 11.0 metres) for doubles. The height of the net at the centre is 3 feet (0.91 metre), and it is supported at each side of the court by posts 3.5 feet (1.1 metre) high placed 3 feet outside the court. ",,,,
sports,"Tennis was originally called lawn tennis, and grass courts are still in use, but the most common court materials today are clay (called “hard courts” in most places, although in the United States that term refers to any hard surface), cement, and a number of cushioned asphalt derivatives and synthetic surfaces.",,,,
sports,"A tennis ball consists of a pressurized rubber core covered with high-quality cloth, usually wool mixed with up to 35 percent nylon.",,,,
sports,"Balls gradually go soft with use, and in tournament play they are changed at regular intervals agreed upon by officials and depending upon such factors as the court surface. Balls must have a uniform outer surface, and, if there are any seams, they must be stitchless.",,,,
sports,"The ITF specifies that the ball must be yellow or white, between 2.5 and 2.8 inches (6.35 and 7.14 cm) in diameter, and between 1.975 and 2.095 ounces (56 and 59.4 grams) in weight.",,,,
sports,Opponents spin a racket or toss a coin to decide on side and service. The winner may decide to serve or receive service first (in which case the opponent chooses the side) or may decide on a choice of side (in which case the opponent may choose to serve or receive service first). The players serve alternate games and change sides after every odd number of games.,,,,
sports,"Beginning each game from behind his or her right-hand court, the server has both feet behind the baseline and strikes the ball diagonally across the net and into the opponent’s right-hand service court.",,,,
sports,"Should the ball on service strike the top of the net before falling in the correct service court, it is a “let” and is replayed.",,,,
sports,"The server is allowed one miss, or “fault,” either into the net or outside the opponent’s service court. Failure to deliver a correct service on two attempts constitutes loss of the point.",,,,
sports,"To return service, the receiver strikes the ball back (before it hits the ground a second time) over the net and within the boundaries of the opponent’s court.",,,,
business,She didn’t like the fact that the company didn’t assign seats, she didn’t like the absence of a first-class section, she didn’t like not having a meal in flight, she didn’t like Southwest’s boarding procedure, she didn’t like the flight attendants’ sporty uniforms and the casual atmosphere.
business,"Her last letter, reciting a litany of complaints, momentarily stumped Southwest’s customer relations people. They bumped it up to Herb’s [Kelleher, CEO of Southwest at the time] desk, with a note: ‘This one’s yours.’",,,,
business,"The phrase “The customer is always right” was originally coined in 1909 by Harry Gordon Selfridge, the founder of Selfridge’s department store in London, and is typically used by businesses to convince customers that they will get good service at this company and convince employees to give customers good service.",,,,
business,"However, I think businesses should abandon this phrase once and for all — ironically, because it leads to worse customer service.",,,,
business,"He wanted to make sure that both customers and employees liked the way Continental treated them, so he made it very clear that the maxim “the customer is always right” didn’t hold sway at Continental.",,,,
business,"When we run into customers that we can’t reel back in, our loyalty is with our employees. They have to put up with this stuff every day. Just because you buy a ticket does not give you the right to abuse our employees ...",,,,
business,"We run more than 3 million people through our books every month. One or two of those people are going to be unreasonable, demanding jerks. When it’s a choice between supporting your employees, who work with you every day and make your product what it is, or some irate jerk who demands a free ticket to Paris because you ran out of peanuts, whose side are you going to be on?",,,,
business,"You can’t treat your employees like serfs. You have to value them ... If they think that you won’t support them when a customer is out of line, even the smallest problem can cause resentment.",,,,
business,"So Bethune trusted his people over unreasonable customers. What I like about this attitude is that it balances employees and customers. The “always right” maxim squarely favors the customer which is a bad idea, because, as Bethune says, it causes resentment among employees.",,,,
business,"Of course, there are plenty of examples of bad employees giving lousy customer service but trying to solve this by declaring the customer “always right” is counter-productive.",,,,
business,"Using the slogan “The customer is always right,” abusive customers can demand just about anything — they’re right by definition, aren’t they? This makes the employees’ jobs that much harder when trying to rein them in.",,,,
business,"Also, it means that abusive people get better treatment and conditions than nice people. That always seemed wrong to me, and it makes much more sense to be nice to the nice customers to keep them coming back.",,,,
business,Most businesses think that “the more customers the better”. But some customers are quite simply bad for business.,,,,
business,"One of our service technicians arrived at a customer’s site for a maintenance task, and to his great shock was treated very rudely by the customer.",,,,
business,"When he’d finished the task and returned to the office, he told management about his experience. They promptly cancelled the customer’s contract.",,,,
business,"Just like Kelleher dismissed the irate lady who kept complaining (but somehow also kept flying on Southwest), ServiceGruppen fired a bad customer.",,,,
business,Note that it was not even a matter of a financial calculation — not a question of whether either company would make or lose money on that customer in the long run.,,,,
business,"Rosenbluth argues that when you put the employees first, they put the customers first. Put employees first and they will be happy at work. Employees who are happy at work give better customer service. ",,,,
covid,The Coronavirus (CoV) is a large family of viruses known to cause illnesses ranging from the common cold to acute respiratory tract infection.,,,,
covid,"The severity of the infection may be visible as pneumonia, acute respiratory syndrome, and even death.",,,,
covid,"Until the outbreak of SARS, this group of viruses was greatly overlooked. However, since the SARS and MERS outbreaks, these viruses have been studied in greater detail, propelling the vaccine research.",,,,
covid,"On December 31, 2019, mysterious cases of pneumonia were detected in the city of Wuhan in China's Hubei Province. ",,,,
covid,"On January 7, 2020, the causative agent was identified as a new coronavirus (2019-nCoV), and the disease was later named as COVID-19 by the WHO.",,,,
covid,The virus spread extensively in the Wuhan region of China and has gained entry to over 210 countries and territories.,,,,
covid,"Though experts suspected that the virus is transmitted from animals to humans, there are mixed reports on the origin of the virus.",,,,
covid,"There are no treatment options available for the virus as such, limited to the use of anti-HIV drugs and/or other antivirals such as Remdesivir and Galidesivir.",,,,
covid,"For the containment of the virus, it is recommended to quarantine the infected and to follow good hygiene practices. ",,,,
covid,"The virus has had a significant socio-economic impact globally. Economically, China is likely to experience a greater setback than other countries from the pandemic due to added trade  war pressure.",,,,
covid,Coronaviridae is a family of viruses with a positive-sense RNA that possess an outer viral coat.,,,,
covid,"When looked at with the help of an electron microscope, there appears to be a unique corona around it.",,,,
covid,"This family of viruses mainly cause respiratory diseases in humans, in the forms of common cold or pneumonia as well as respiratory infections.",,,,
covid,"These viruses can infect animals as well. Up until the year 2003, coronavirus (CoV) had attracted limited interest from researchers.",,,,
covid,"However, after the SARS (severe acute respiratory syndrome) outbreak caused by the SARS-CoV, the coronavirus was looked at with renewed interest.",,,,
covid,This also happened to be the first epidemic of the 21st century originating in the Guangdong province of China. ,,,,
covid,"Almost 10 years later, there was a MERS (Middle East respiratory syndrome) outbreak in 2012, which was caused by the MERS-CoV.",,,,
covid,Both SARS and MERS have a zoonotic origin and originated from bats. A unique feature of these viruses is the ability to mutate rapidly and adapt to a new host.,,,,
covid,The zoonotic origin of these viruses allows them to jump from host to host.,,,,
covid,Coronaviruses are known to use the angiotensin-converting enzyme-2 (ACE-2) receptor or the dipeptidyl peptidase IV (DPP-4) protein to gain entry into cells for replication.,,,,
